Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,nicotine_strength (product.metafields.custom.nicotine_strength),Showcase - Best Seller (product.metafields.custom.showcase_best_seller),Showcase - Featured (product.metafields.custom.showcase_featured),Showcase - Hero Accessories (product.metafields.custom.showcase_hero_accessories),Showcase - Hero CBD (product.metafields.custom.showcase_hero_cbd),Showcase - Hero Devices (product.metafields.custom.showcase_hero_devices),Showcase - Hero Disposables (product.metafields.custom.showcase_hero_disposables),Showcase - Hero E-Liquids (product.metafields.custom.showcase_hero_eliquids),Showcase - Hero Nicotine Pouches (product.metafields.custom.showcase_hero_nicotine_pouches),Showcase - Hero Pods/Coils (product.metafields.custom.showcase_hero_pods_coils),Showcase - New Arrival (product.metafields.custom.showcase_new_arrival),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),E-liquid variety (product.metafields.shopify.e-liquid-variety),VG/PG ratio (product.metafields.shopify.vg-pg-ratio),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
helwit-9mg-nicotine-pouches-blueberry-20-pouches,HELWIT 9mg Nicotine Pouches Blueberry - 20 Pouches,"<p><span data-mce-fragment=""1"">The HELWIT 9mg Nicotine Pouches Blueberry - 20 Pouches offer a discreet and convenient way to enjoy nicotine with a modern can and slim pouches. Each pouch contains 9mg/g of nicotine, providing a fast and efficient release. With a sweet and fruity blueberry flavour, these all-white, tobacco-free pouches are perfect for those seeking a balanced and delicious nicotine experience. They fit comfortably under the upper lip and are great for environments where smoking is not allowed.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Strength - 3/4</li>
<li data-mce-fragment=""1"">9mg Nicotine Salt</li>
<li data-mce-fragment=""1"">Slim Packaging</li>
<li data-mce-fragment=""1"">Shelf Life 365 days</li>
<li data-mce-fragment=""1"">Made In Sweden</li>
<li data-mce-fragment=""1"">Weight: 10g</li>
</ul>
<p><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Flavour:</strong><span data-mce-fragment=""1""> Blueberry </span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Ingredients: Cellulose fibre (E460i), Humectant (E422), Water, Flavourings, Nicotine Polacrilex, Salt, Erythritol (E968), Acidity regulator (E500), Sweetener (E955)</span></p>",HELWIT,Health & Beauty > Health Care > Medicine & Drugs > Smoking Cessation Aids,Smoking Products,"9mg, fruity, nic_salt, nic_strength=9, nicotine_pouches, parse_attributes_0, pouch, tobacco",TRUE,Title,Default Title,,,,,,,,AG0202X0474,9.0718474,shopify,0,deny,manual,3.92,4.9,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289345.webp?v=1763964320,1,267289345.webp,FALSE,HELWIT 9mg Nicotine Pouches Blueberry - 20 Pouches,"Buy HELWIT HELWIT Blueberry 9mg nicotine pouches. Tobacco-free, discreet pouches. Fast UK delivery, 18+ age verified.",Health & Beauty > Health Care > Medicine & Drugs,unisex,adult,AG0202X0474,new,FALSE,,,,,,,,,,,,,,,,,,,,,,,"helwit, 9mg, 9 mg, berry, nicotine pouches, nic pouches, tobacco free",https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289345.webp?v=1763964320,lb,,2.45,active
12mg-ignite-mint-slim-nicotine-pouch-20-pouches,12mg Ignite Mint Slim Nicotine Pouch - 20 Pouches,"<p data-mce-fragment=""1"">Discover the invigorating taste of 12mg Ignite Mint Slim Nicotine Pouches, carefully designed to elevate your nicotine intake. Each slim pouch is filled with a burst of lively Mint flavor, providing a fulfilling alternative to traditional smoking. This pack contains 20 accurately measured pouches for convenient, on-the-go use.<br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Specifications:</strong><br data-mce-fragment=""1""></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Strength: 12mg Per Pouch</li>
<li data-mce-fragment=""1"">Doses: 20 pouches</li>
<li data-mce-fragment=""1"">Tobacco-free, smoke-free and vapour-free</li>
<li data-mce-fragment=""1"">Mint Flavouring</li>
</ul>
<br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Direction of Use:</strong> Place one pouch under your top or bottom lip. Position the pouch to the side of your lip for comfort. Remove after 30 to 60 minutes.",IGNITE,Health & Beauty > Health Care > Medicine & Drugs > Smoking Cessation Aids,Smoking Products,"12mg, ice, nic_strength=12, nicotine_pouches, parse_attributes_0, pouch, tobacco, traditional_nicotine",TRUE,Title,Default Title,,,,,,,,ED0178Z0142,31.7514659,shopify,0,deny,manual,3.68,4.6,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289138.webp?v=1763964298,1,267289138.webp,FALSE,12mg Ignite Mint Slim Nicotine Pouch - 20 Pouches | Nicot...,"Buy IGNITE Ignite Mint 12mg nicotine pouches. Tobacco-free, discreet pouches. Fast UK delivery, 18+ age verified.",Health & Beauty > Health Care > Medicine & Drugs,unisex,adult,ED0178Z0142,new,FALSE,,,,,,,,,,,,,,,,,,,,,,,"ignite, 12mg, 12 mg, mint, nicotine pouches, nic pouches, tobacco free",https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289138.webp?v=1763964298,lb,,2.3,active
12mg-nor-slim-nicotine-pouches-20-pouches,12mg NOR Slim Nicotine Pouches - 20 Pouches,"<p>Discover a perfectly satisfying, discreet nicotine experience with 12mg NOR Slim Nicotine Pouches. This premium pack features 20 expertly crafted, tobacco-free pouches designed to deliver a consistent, smooth hit of nicotine. The slim profile ensures a comfortable fit under your lip, making these pouches perfect for on-the-go use without any mess or odor. With a moderate 12mg nicotine strength, these pouches cater to both experienced users seeking a controlled intake and those transitioning from traditional tobacco products. NOR's dedication to quality shines through in each pouch, offering a clean and satisfying alternative that can be enjoyed anytime, anywhere. Whether you're at work, socializing, or simply unwinding, these pouches provide a discreet and effective solution to managing your nicotine cravings. Embrace the modern, smoke-free lifestyle with NOR Slim Nicotine Pouches and elevate your nicotine routine.<strong><br><br>Specifications:</strong></p>
<ul>
<li>Strength: 12mg/g<br>
</li>
<li>S3 Strength<br>
</li>
<li>Weight: 30g<br>
</li>
<li>Doses: 20 pouches<br>
</li>
<li>Slim Pouches <br><br><strong>Direction of Use: </strong>Place one pouch under your top or bottom lip. Position the pouch to the side of your lip for comfort. Remove after 30 to 60 minutes.</li>
</ul>
<p><strong>Flavours:  <br></strong></p>
<ul>
<li>Hardanger | Slim | No.4 - Strawberry <br>
</li>
<li>Lillesand | Slim | No.11 - Rhubarb <strong><br></strong><strong></strong>
</li>
</ul>
<!----><!---->",NOR,Health & Beauty > Health Care > Medicine & Drugs > Smoking Cessation Aids,Smoking Products,"12mg, fruity, nic_salt, nic_strength=12, nicotine_pouches, parse_attributes_0, pouch, tobacco, traditional_nicotine",TRUE,Flavour,Lillesand - Rhubarb,,,,,,,,EG0315X0359,31.7514659,shopify,0,deny,manual,4.8,6,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289372.webp?v=1763964273,1,267289372.webp,FALSE,12mg NOR Slim Nicotine Pouches - 20 Pouches,"Buy NOR NOR 12mg nicotine pouches. Tobacco-free, discreet pouches. Fast UK delivery, 18+ age verified.",Health & Beauty > Health Care > Medicine & Drugs,unisex,adult,EG0315X0359,new,FALSE,,,,,,,,,,,,,,,,,,,,,,,"nor, 12mg, 12 mg, nicotine pouches, nic pouches, tobacco free",https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289376.webp?v=1763964279,lb,,3,active
12mg-nor-slim-nicotine-pouches-20-pouches,,,,,,,,,Hardanger - Strawberry,,,,,,,,EG0311X0359,31.7514659,shopify,0,deny,manual,4.8,6,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289374.webp?v=1763964277,2,267289374.webp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289374.webp?v=1763964277,lb,,3,
12mg-nor-slim-nicotine-pouches-20-pouches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289376.webp?v=1763964279,3,267289376.webp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7mg-helwit-banana-nicotine-pouches-20-pouches,7mg HELWIT Banana Nicotine Pouches - 20 Pouches,"<p>Discover the modern and convenient way to enjoy nicotine with 7mg HELWIT Banana Nicotine Pouches - 20 Pouches! Each slim pouch offers a classic Banana flavour and contains 7mg/g of nicotine, providing a discreet and pleasurable option for nicotine consumption. With a net weight of 10g, these all-white, tobacco-free pouches can easily fit under the upper lip for a quick and efficient release of nicotine. Elevate your nicotine experience with these pouches and savor the balanced and satisfying sensations in any setting!<br><br></p>
<ul>
<li>Strength - 2/4</li>
<li>7mg Nicotine</li>
<li>Slim Packaging</li>
<li>Shelf Life 365 days</li>
<li>Made In Sweden</li>
<li>Weight: 10g</li>
</ul>
<p><br><strong>Flavour:</strong> Banana <br><br><strong>Ingredients:</strong> Cellulose fiber (E460i), Humectant (E422), Water, Flavourings, Nicotine Polacrilex, Salt, Erythritol (E968), Acidity regulator (E500), Sweetener (E955)<br><br><br></p>",HELWIT,Health & Beauty > Health Care > Medicine & Drugs > Smoking Cessation Aids,Smoking Products,"7mg, nic_strength=7, nic_strength=8, nicotine_pouches, parse_attributes_0, pouch, tobacco",TRUE,Title,Default Title,,,,,,,,AB0284X0474,9.0718474,shopify,0,deny,manual,3.92,4.9,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289945.webp?v=1763964132,1,267289945.webp,FALSE,7mg HELWIT Banana Nicotine Pouches - 20 Pouches,"Buy HELWIT HELWIT Banana 7mg nicotine pouches. Tobacco-free, discreet pouches. Fast UK delivery, 18+ age verified.",Health & Beauty > Health Care > Medicine & Drugs,unisex,adult,AB0284X0474,new,FALSE,,,,,,7mg,,,,,,,,,,,,,,,,,"helwit, 7mg, 7 mg, banana, nicotine pouches, nic pouches, tobacco free",https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289945.webp?v=1763964132,lb,,2.45,active
35mg-nois-cool-strong-slim-nicotine-pouches-27-pouches,35mg NOIS Cool Strong Slim Nicotine Pouches - 27 Pouches,"<p data-start=""0"" data-end=""524"">Crafted to provide a satisfying and discreet smoke-free experience, NOIS 35mg Nicotine Pouches offer a convenient alternative to traditional tobacco products. With a compact and portable design, these pouches deliver a long-lasting nicotine release and refreshing sensation without the need for vaping or smoking. Enjoy a balanced and enjoyable experience with each pouch, making them perfect for both new and seasoned users.</p>
<p data-start=""0"" data-end=""524""><strong>Specifications:</strong></p>
<ul>
<li data-start=""0"" data-end=""524"">Nicotine Strength: 35mg/g Strength</li>
<li data-start=""0"" data-end=""524"">Tobacco-Free</li>
<li data-start=""0"" data-end=""524"">Smoke-Free</li>
<li data-start=""0"" data-end=""524"">Format: Slim</li>
<li>27 Pouches Per Pack</li>
</ul>
<p><strong>Flavour:</strong></p>
<ul>
<li>Cool Strong<br>
</li>
</ul>
<p><strong>Direction of Use:</strong> Place one pouch under your top or bottom lip. Position the pouch to the side of your lip for comfort. Remove after 30 to 60 minutes.</p>",NOIS,Health & Beauty > Health Care > Medicine & Drugs > Smoking Cessation Aids,Smoking Products,"0mg, ice, nic_strength=35, nicotine_pouches, parse_attributes_0, pouch, tobacco, traditional_nicotine",TRUE,Title,Default Title,,,,,,,,AH0063Z0155,31.7514659,shopify,164,deny,manual,3.12,3.9,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289742.webp?v=1763964062,1,267289742.webp,FALSE,35mg NOIS Cool Strong Slim Nicotine Pouches - 27 Pouches,"Buy NOIS NOIS Cool Strong 35mg nicotine pouches. Tobacco-free, discreet pouches. Fast UK delivery, 18+ age verified.",Health & Beauty > Health Care > Medicine & Drugs,unisex,adult,AH0063Z0155,new,FALSE,,,,,,35mg,,,,,,,,,,,,,,,,,"nois, 35mg, 35 mg, cool, nicotine pouches, nic pouches, tobacco free",https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289742.webp?v=1763964062,lb,,1.95,active
11mg-ubbs-watermelon-strong-nicotine-pouches-20-pouches,11mg Übbs Watermelon Strong Nicotine Pouches - 20 Pouches,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Übbs Strong Nicotine Pouches! </span>Discover a refreshing burst of flavour with 11mg. Each convenient pack contains 20 pouches that quickly disperse nicotine in your mouth for a satisfying hit without smoke or unpleasant odours. Designed for those seeking a clean and enjoyable alternative to traditional tobacco products, Übbs Nicotine Pouches offer a convenient and discreet way to enjoy nicotine without tobacco. With a wide range of flavours and a focus on convenience, these pouches are perfect for anyone looking for a new, smoke-free nicotine experience.<br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Specifications:</strong><br data-mce-fragment=""1""></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Strength: 11 mg/g</li>
<li data-mce-fragment=""1"">Regular Strength </li>
<li data-mce-fragment=""1"">Weight: 30g </li>
<li data-mce-fragment=""1"">Doses: 20 pouches</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Direction of Use:</strong><span data-mce-fragment=""1""> </span>Place one pouch under your top or bottom lip. Position the pouch to the side of your lip for comfort. Remove after 30 to 60 minutes. <br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Flavours: <br data-mce-fragment=""1""></strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Watermelon </li>
</ul>",Übbs,Health & Beauty > Health Care > Medicine & Drugs > Smoking Cessation Aids,Smoking Products,"11mg, nic_strength=11, nicotine_pouches, parse_attributes_0, pouch, tobacco, traditional_nicotine",TRUE,Title,Default Title,,,,,,,,AJ0075X0467,31.7514659,shopify,93,deny,manual,4,5,TRUE,TRUE,,,,,8904415400405,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267288836.webp?v=1763964041,1,267288836.webp,FALSE,11mg Übbs Watermelon Strong Nicotine Pouches - 20 Pouches,"Buy Übbs Übbs Watermelon Strong 11mg nicotine pouches. Tobacco-free, discreet pouches. Fast UK delivery, 18+ age verified.",Health & Beauty > Health Care > Medicine & Drugs,unisex,adult,AJ0075X0467,new,FALSE,,,,,,,,,,,,,,,,,,,,,,,"übbs, 11mg, 11 mg, melon, watermelon, nicotine pouches, nic pouches, tobacco free",https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267288836.webp?v=1763964041,lb,,2.5,active
15mg-helwit-extra-strong-cola-nicotine-pouches-20-pouches,15mg HELWIT Extra Strong Cola Nicotine Pouches - 20 Pouches,"<p>Elevate your nicotine experience with Helwit's Extra Strong Cola Nicotine Pouches. These Swedish-crafted, tobacco-free pouches deliver an intense 15mg/g nicotine hit wrapped in a classic cola flavour. Designed for discerning users seeking a powerful and discreet nicotine solution, each slim pouch offers up to 30 minutes of flavourful satisfaction. Perfect for those wanting a convenient, smoke-free alternative that can be enjoyed anywhere. Packaged in a 20-pouch tub with an innovative storage compartment for used pouches, Helwit ensures both quality and convenience.</p>
<ul>
<li>Extra Strong</li>
<li>15mg/g Nicotine </li>
<li>Slim Packaging</li>
<li>Shelf Life 365 days</li>
<li>Made In Sweden</li>
<li>Weight: 10g</li>
</ul>
<p><br><strong>Flavour:</strong> Cola<br><br>Ingredients: Cellulose fibre (E460i), Humectant (E422), Water, Flavourings, Nicotine Polacrilex, Salt, Erythritol (E968), Acidity regulator (E500), Sweetener (E955)<br></p>",HELWIT,Health & Beauty > Health Care > Medicine & Drugs > Smoking Cessation Aids,Smoking Products,"15mg, nic_strength=15, nicotine_pouches, parse_attributes_0, pouch, tobacco",TRUE,Title,Default Title,,,,,,,,AB0282X0474,9.0718474,shopify,0,deny,manual,3.92,4.9,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267290018.webp?v=1763964031,1,267290018.webp,FALSE,15mg HELWIT Extra Strong Cola Nicotine Pouches - 20 Pouches,"Buy HELWIT HELWIT Extra Strong 15mg nicotine pouches. Tobacco-free, discreet pouches. Fast UK delivery, 18+ age verified.",Health & Beauty > Health Care > Medicine & Drugs,unisex,adult,AB0282X0474,new,FALSE,,,,,,,,,,,,,,,,,,,,,,,"helwit, 15mg, 15 mg, cola, nicotine pouches, nic pouches, tobacco free",https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267290018.webp?v=1763964031,lb,,2.45,active
18mg-muse-nicotine-pouches-cdu-bundle-30-units-free-stand,18mg  Muse Nicotine Pouches CDU Bundle 30 Units + Free Stand,"<h3>First UK Made Nicotine Pouch Brand!  </h3>
<h4><strong>Tobacco Free &amp; Sugar Free!</strong></h4>
<p>Experience unparalleled indulgence with the 18mg Muse Nicotine Pouches CDU Bundle + 30 Units Set. Made with a variety of 6 delicious and distinct flavors - Cool Mint, Liquorice, Strawberry Raspberry Cherry, Orange Mango, Iron Brew, and Cola Ice - each pouch is carefully crafted to provide a smooth and nicotine-free hit. Perfect for adults seeking a discreet and sugar-free alternative, this bundle offers convenience and satisfaction. Elevate your nicotine game with Muse, the revolutionary product line taking the UK retail market by storm. Unleash your full potential with the exclusive variety pack of 18mg Muse Nicotine Pouches CDU Bundle + 30 Units Set. Elevate your nicotine experience with Muse's signature, British-inspired flavors. Don't miss out on this unique opportunity, order now!</p>
<p><strong>Specifications: </strong><br></p>
<ul>
<li>30 Muse Nicotine Pouch Cans Total <br>
</li>
<li>18mg Nicotine Pouch Strengths</li>
<li>Limited Time Offer</li>
<li>6 Flavours in total!</li>
<li>Original &amp; Mix Range</li>
</ul>
<p><strong>What's in the Bundle: </strong><br></p>
<ul>
<li>30x Muse Nicotine Pouch Cans<br>
</li>
<li>1x Counter Top Display Unit  </li>
</ul>
<p><strong>Flavours: <br></strong></p>
<ul>
<li>5x 18mg Cool Mint <br>
</li>
<li>5x 18mg Liquorice</li>
<li>5x 18mg Strawberry Raspberry Cherry </li>
<li>5x 18mg Orange Mango</li>
<li>5x 18mg Iron Brew </li>
<li>5x 18mg Cola Ice</li>
</ul>",Muse,Health & Beauty > Health Care > Medicine & Drugs > Smoking Cessation Aids,Smoking Products,"18mg, ice, nic_salt, nic_strength=18, nicotine_pouches, parse_attributes_0, pouch, tobacco",TRUE,Title,Default Title,,,,,,,,Z8811,1501.390745,shopify,56,deny,manual,96,120,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289928.webp?v=1763964011,1,267289928.webp,FALSE,18mg  Muse Nicotine Pouches CDU Bundle 30 Units + Free Stand,"Buy Muse Muse CDU Bundle 18mg nicotine pouches. Tobacco-free, discreet pouches. Fast UK delivery, 18+ age verified.",Health & Beauty > Health Care > Medicine & Drugs,unisex,adult,Z8811,new,FALSE,,,,,,,,,,,,,,,,,,,,,,,"muse, 18mg, 18 mg, nicotine pouches, nic pouches, tobacco free",https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289928.webp?v=1763964011,lb,,60,unlisted
11mg-14mg-ubbs-strong-max-nicotine-pouches-bundle-40-cans-40-cans-for-the-price-30-cans,11mg & 14mg Ubbs Strong & Max Nicotine Pouches Bundle 40 Cans (40 Cans For The Price 30 Cans),"<p>The 11mg and 14mg Ubbs Nicotine Pouch Bundle offers an exceptional value with 40 cans for the price of 30, making it an ideal choice for retailers looking to maximize their inventory while providing customers with a premium product. This bundle includes 10 cans each of four delightful flavors: Spearmint, Cola Ice, Menthol, and Watermelon , ensuring a diverse selection that caters to various taste preferences. Each can contains 20 pouches, delivering a total of 800 nicotine pouches that are crafted with high-quality, tobacco-free ingredients, providing a smooth and satisfying experience. Designed for convenience, these pouches fit discreetly under the lip, allowing for a clean and enjoyable way to indulge in nicotine without the mess of traditional tobacco products. With its appealing flavors and excellent value, this bundle is perfect for retailers aiming to attract and satisfy a wide range of customers.<br></p>
<p><strong>Specifications: </strong><br></p>
<ul>
<li>40 Ubbs Nicotine Pouch Cans For The Price of 30!<br>
</li>
<li>11mg &amp;14mg Nicotine Pouch Strength</li>
<li>40 Nicotine Pouch Cans </li>
<li>20 Pouches Per Can</li>
<li>Limited Time Offer</li>
</ul>
<p><strong>What's in the Bundle: </strong><br></p>
<ul>
<li>20x 11mg Ubbs Nicotine Pouch Cans</li>
<li>20x 14mg Ubbs Nicotine Pouch Cans</li>
</ul>
<p><strong>Flavours: <br></strong></p>
<ul>
<li>10x 11mg Spearmint  <br>
</li>
<li>10x 11mg Cola Ice <br>
</li>
<li>10x 14mg Menthol<br>
</li>
<li>10x 14mg Watermelon </li>
</ul>
<!----><!---->",Übbs,Health & Beauty > Health Care > Medicine & Drugs > Smoking Cessation Aids,Smoking Products,"11mg, ice, nic_salt, nic_strength=11, nic_strength=14, nicotine_pouches, parse_attributes_0, pouch, tobacco, traditional_nicotine",TRUE,Title,Default Title,,,,,,,,EH0351X0467,498.951607,shopify,4,deny,manual,120,150,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267290057.webp?v=1763963731,1,267290057.webp,FALSE,Übbs 11mg & 14mg Ubbs Strong & Max Nicotine Pouches Bundl...,"Buy Übbs & Ubbs Strong 11mg nicotine pouches. Tobacco-free, discreet pouches. Fast UK delivery, 18+ age verified.",Health & Beauty > Health Care > Medicine & Drugs,unisex,adult,EH0351X0467,new,FALSE,,,,,,,,,,,,,,,,,,,,,,,"übbs, 11mg, 11 mg, ice, nicotine pouches, nic pouches, tobacco free",https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267290057.webp?v=1763963731,lb,,75,active
16mg-mafia-slim-nicotine-pouches-20-pouches,16mg Mafia Slim Nicotine Pouches - 20 Pouches,"<p>Introducing the 16mg Mafia Slim Nicotine Pouches, a premium option for those seeking a balanced and satisfying nicotine experience. Each pack contains 20 slim-format pouches, each delivering a moderate 16mg dose of nicotine. These pouches are designed for discreet and convenient use, fitting comfortably under your lip for a smooth and consistent release of nicotine. Ideal for both newcomers and experienced users, the Mafia Slim Nicotine Pouches offer a reliable alternative to smoking or vaping, providing long-lasting satisfaction without the need for tobacco. Crafted with high-quality ingredients, these pouches ensure a clean and enjoyable experience, making them perfect for use anytime, anywhere. Whether you're at work, on the go, or relaxing at home, the 16mg Mafia Slim Nicotine Pouches offer a versatile and effective solution to manage your nicotine cravings. Elevate your nicotine experience with the refined quality and convenience of Mafia Slim Nicotine Pouches.<strong data-mce-fragment=""1""><br><br><br>Specifications:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Strength: 16mg Per Gram </li>
<li data-mce-fragment=""1"">Standard Strength<br>
</li>
<li data-mce-fragment=""1"">No Tobacco </li>
<li data-mce-fragment=""1"">Slim Pouch </li>
<li data-mce-fragment=""1"">Weight: 30g</li>
<li data-mce-fragment=""1"">Doses: 20 pouches<br>
</li>
</ul>
<p><strong>Direction of Use:</strong> Place one pouch under your top or bottom lip. Position the pouch to the side of your lip for comfort. Remove after 30 to 60 minutes.<br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong>Flavour: <br></strong></p>
<ul>
<li>Apple Lemon Pear Cake </li>
<li>Cherry Raspberry Strawberry </li>
<li>Strawberry Raspberry Bubblegum </li>
</ul>
<p><!----><br></p>
<!----><!---->",Mafia,Health & Beauty > Health Care > Medicine & Drugs > Smoking Cessation Aids,Smoking Products,"16mg, candy/sweets, desserts/bakery, fruity, nic_salt, nicotine_pouches, parse_attributes_0, pouch",TRUE,Flavour,Strawberry Raspberry Bubblegum,,,,,,,,EH0084X0510,31.7514659,shopify,22,deny,manual,3.04,3.8,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289380.webp?v=1763963676,1,267289380.webp,FALSE,16mg Mafia Slim Nicotine Pouches - 20 Pouches,"Buy Mafia Mafia 16mg nicotine pouches. Tobacco-free, discreet pouches. Fast UK delivery, 18+ age verified.",Health & Beauty > Health Care > Medicine & Drugs,unisex,adult,EH0084X0510,new,FALSE,,,,,,,,,,,,,,,,,,,,,,,"mafia, 16mg, 16 mg, nicotine pouches, nic pouches, tobacco free",https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289388.webp?v=1763963682,lb,,1.9,active
16mg-mafia-slim-nicotine-pouches-20-pouches,,,,,,,,,Apple Lemon Pear Cake,,,,,,,,EH0082X0510,31.7514659,shopify,172,deny,manual,3.04,3.8,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289384.webp?v=1763963683,2,267289384.webp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289384.webp?v=1763963683,lb,,1.9,
16mg-mafia-slim-nicotine-pouches-20-pouches,,,,,,,,,Cherry Raspberry Strawberry,,,,,,,,EH0083X0510,31.7514659,shopify,70,deny,manual,3.04,3.8,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289385.webp?v=1763963680,3,267289385.webp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289385.webp?v=1763963680,lb,,1.9,
16mg-mafia-slim-nicotine-pouches-20-pouches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0901/3696/9543/files/267289388.webp?v=1763963682,4,267289388.webp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
